id,target,dilution,replicate,conc,BLOD,BLOQ,Ct,well,source_file
SCr-240,trout,1:1,2.0,425.8655243321301,0,0,30.69808388,B5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:1,3.0,412.4245971855963,0,0,30.7468605,B6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,1.0,348.3902299447426,0,0,33.45133209,B7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,2.0,529.4853120544224,0,0,32.81469727,B8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,3.0,499.1762797823694,0,0,32.90435028,B9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,1.0,1474.567685353245,0,0,31.25693703,B10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,2.0,1434.1354635033508,0,0,31.29922295,B11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,3.0,1414.2199593899434,0,0,31.32049179,B12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:1,1.0,14.171628026245804,1,1,Undetermined,C4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:1,2.0,14.171628026245804,1,1,Undetermined,C5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:1,3.0,14.171628026245804,1,1,Undetermined,C6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:5,1.0,70.85814013122902,1,1,Undetermined,C7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:5,2.0,70.85814013122902,1,1,Undetermined,C8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-265,trout,1:5,3.0,70.85814013122902,1,1,Undetermined,C9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,1.0,985.8114805318226,0,0,29.42150307,C10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,2.0,896.6789330897681,0,0,29.56563759,C11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,3.0,1080.9251200720366,0,0,29.28141403,C12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-266,trout,1:1,1.0,14.171628026245804,1,1,Undetermined,D4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
