id,target,dilution,Ct_Mean,delta_Ct
SCr-210,trout,1:5,31.38507843,
SCr-211,coho,1:1,36.08816528,-1.5079155000000029
SCr-211,coho,1:5,37.59608078,
SCr-211,trout,1:1,29.73539925,-2.047384260000001
SCr-211,trout,1:5,31.78278351,
SCr-212,coho,1:1,37.72172165,-0.02081299000000314
SCr-212,coho,1:5,37.74253464,
SCr-212,trout,1:1,30.15555,-1.3975410499999974
SCr-212,trout,1:5,31.55309105,
SCr-213,coho,1:1,35.58369827,-1.3337058999999982
SCr-213,coho,1:5,36.91740417,
SCr-213,trout,1:1,29.57794952,-2.254310610000001
SCr-213,trout,1:5,31.83226013,
SCr-214,coho,1:1,34.75466537,-1.7809715300000022
SCr-214,coho,1:5,36.5356369,
SCr-214,trout,1:1,28.98195076,-1.6030464199999983
SCr-214,trout,1:5,30.58499718,
SCr-215,coho,1:1,35.00782776,-2.69181442
SCr-215,coho,1:5,37.69964218,
SCr-215,trout,1:1,29.82600594,-2.280893319999997
SCr-215,trout,1:5,32.10689926,
SCr-216,coho,1:1,34.16713333,-2.465316770000001
SCr-216,coho,1:5,36.6324501,
SCr-216,trout,1:1,29.5003891,-1.5656147000000011
SCr-216,trout,1:5,31.0660038,
SCr-217,coho,1:1,38.74322128,0.9274253800000025
SCr-217,coho,1:5,37.8157959,
SCr-217,trout,1:1,31.16179848,-0.29272078999999707
SCr-217,trout,1:5,31.45451927,
SCr-218,coho,1:1,37.32312393,-0.3948669500000008
SCr-218,coho,1:5,37.71799088,
SCr-218,trout,1:1,30.41779137,-1.4758338900000005
SCr-218,trout,1:5,31.89362526,
SCr-219,coho,1:1,39.20738602,1.4552650500000013
SCr-219,coho,1:5,37.75212097,
SCr-219,trout,1:1,30.49725151,-1.471321109999998
SCr-219,trout,1:5,31.96857262,
SCr-22,coho,1:1,,
SCr-22,coho,1:5,,
SCr-22,trout,1:1,37.04428482055664,-0.012210845947265625
SCr-22,trout,1:5,37.056495666503906,
SCr-220,coho,1:1,36.00314331,-1.077548980000003
SCr-220,coho,1:5,37.08069229,
SCr-220,trout,1:1,30.53284454,-2.106212620000001
SCr-220,trout,1:5,32.63905716,
SCr-221,coho,1:1,34.68323135,-2.8772201600000002
SCr-221,coho,1:5,37.56045151,
SCr-221,trout,1:1,29.25074768,-1.7122955299999987
SCr-221,trout,1:5,30.96304321,
SCr-222,coho,1:1,35.51409912,-1.8418159500000044
SCr-222,coho,1:5,37.35591507,
SCr-222,trout,1:1,29.96800804,-2.0583858500000005
SCr-222,trout,1:5,32.02639389,
SCr-223,coho,1:1,33.92671585,-1.6491317799999976
SCr-223,coho,1:5,35.57584763,
SCr-223,trout,1:1,29.64865685,-1.874362940000001
SCr-223,trout,1:5,31.52301979,
SCr-224,coho,1:1,35.040802,-0.9538269100000036
SCr-224,coho,1:5,35.99462891,
SCr-224,trout,1:1,30.50718117,-1.8790874500000037
SCr-224,trout,1:5,32.38626862,
SCr-225,coho,1:1,34.64064407,1.2819061200000021
SCr-225,coho,1:5,33.35873795,
SCr-225,trout,1:1,29.89280128,-1.892103200000001
SCr-225,trout,1:5,31.78490448,
SCr-226,coho,1:1,36.6937561,-0.3508987499999989
SCr-226,coho,1:5,37.04465485,
SCr-226,trout,1:1,31.28399849,-1.3307514200000021
SCr-226,trout,1:5,32.61474991,
SCr-227,coho,1:1,34.19392014,-2.0782623200000003
SCr-227,coho,1:5,36.27218246,
SCr-227,trout,1:1,29.81556892,-1.80606079
SCr-227,trout,1:5,31.62162971,
SCr-228,coho,1:1,35.53683853,-0.6164016700000019
SCr-228,coho,1:5,36.1532402,
SCr-228,trout,1:1,30.34197807,-1.2011985799999998
SCr-228,trout,1:5,31.54317665,
SCr-229,coho,1:1,34.92593765,-1.0351028500000012
SCr-229,coho,1:5,35.9610405,
SCr-229,trout,1:1,30.34119987,-2.3106975599999977
SCr-229,trout,1:5,32.65189743,
SCr-23,coho,1:1,37.62589264,
SCr-23,coho,1:5,,
SCr-23,trout,1:1,35.74310303,-3.727561950000002
