id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file,sample_type,sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
SCr-Neg2,coho,1:1,0.0,0.0,1,1,1,2,2,2,2,38.92658996582031,0.919532299041748,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg_3874,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg_3874,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-463,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Deployed,2019-11-25 16:27:27,2019-11-25 16:20:35,2019-11-25 16:26:07,2019-11-25 16:28:47,2.67,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.453183520599254,2019-11-25,16.0,1.0,13.0
SCr-463,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Deployed,2019-11-25 16:27:27,2019-11-25 16:20:35,2019-11-25 16:26:07,2019-11-25 16:28:47,2.67,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.453183520599254,2019-11-25,16.0,1.0,13.0
SCr-462,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Deployed,2019-11-25 16:06:02,2019-11-25 15:59:10,2019-11-25 16:04:41,2019-11-25 16:07:23,2.7,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.03703703703704,2019-11-25,16.0,1.0,13.0
SCr-462,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Deployed,2019-11-25 16:06:02,2019-11-25 15:59:10,2019-11-25 16:04:41,2019-11-25 16:07:23,2.7,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.03703703703704,2019-11-25,16.0,1.0,13.0
SCr-588,trout,1:5,0.0,0.0,1,1,1,3,2,3,3,36.19586945,0.6350619789999999,-0.43682479999999657,1.0,20201029_Scott_Creek_Omykiss_Chloe_P2_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-589,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20201029_Scott_Creek_Okisutch_Chloe_P2_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-589,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201029_Scott_Creek_Okisutch_Chloe_P2_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-462,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Deployed,2019-11-25 16:06:02,2019-11-25 15:59:10,2019-11-25 16:04:41,2019-11-25 16:07:23,2.7,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.03703703703704,2019-11-25,16.0,1.0,13.0
SCr-463,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Deployed,2019-11-25 16:27:27,2019-11-25 16:20:35,2019-11-25 16:26:07,2019-11-25 16:28:47,2.67,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.453183520599254,2019-11-25,16.0,1.0,13.0
SCr-589,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201029_Scott_Creek_Omykiss_Chloe_P2_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-590,coho,1:1,0.0,9.220859880635595,1,1,1,3,3,2,2,37.58756638,0.934530199,-0.8468246400000012,1.0,20201028_Scott_Creek_Okisutch_Kevan_P1_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-590,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.43439102,,-0.8468246400000012,1.0,20201028_Scott_Creek_Okisutch_Kevan_P1_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-590,trout,1:1,0.0,0.0,1,1,1,3,2,3,3,37.30647278,0.35781258299999996,,,20201028_Scott_Creek_Omykiss_Kevan_P1_results.csv,Deployed,,,,,,,,,,,,,,,,
SCr-462,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Deployed,2019-11-25 16:06:02,2019-11-25 15:59:10,2019-11-25 16:04:41,2019-11-25 16:07:23,2.7,100.0,100.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,37.03703703703704,2019-11-25,16.0,1.0,13.0
SCr-446,trout,1:5,728.8454601582644,72.21013978596613,1,0,0,3,3,0,0,32.258693699999995,0.154014274,-2.3413715399999937,0.0,20201117_Scott_Creek_Omykiss_Chloe_P1_data.csv,Deployed,,,,,,,,,,,,,,,,
SCr-446,trout,1:1,683.0509554335176,78.26994002483214,1,0,0,3,3,0,0,29.91732216,0.176906973,-2.3413715399999937,0.0,20201117_Scott_Creek_Omykiss_Chloe_P1_data.csv,Deployed,,,,,,,,,,,,,,,,
