Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 14:26:52 PM PST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
G9,SCr-511-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.73504639,35.23136902,1.178368211,55.83085632,47.68685532,27.01449394,FALSE,0.1,TRUE,3,30,,Y,N
G10,SCr-538,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19180298,32.26452637,0.234012052,276.2930908,265.8126526,37.78744507,FALSE,0.1,TRUE,3,29,,N,N
G11,SCr-538,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.07550812,32.26452637,0.234012052,297.2536621,265.8126526,37.78744507,FALSE,0.1,TRUE,3,29,,N,N
G12,SCr-538,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.52626419,32.26452637,0.234012052,223.8912354,265.8126526,37.78744507,FALSE,0.1,TRUE,3,28,,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-513,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.38379288,34.61516953,0.201058328,69.62941742,60.53063965,7.901278973,FALSE,0.1,TRUE,3,30,,N,N
H5,SCr-513,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.71430206,34.61516953,0.201058328,56.56385803,60.53063965,7.901278973,FALSE,0.1,TRUE,3,31,,N,N
H6,SCr-513,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.74740601,34.61516953,0.201058328,55.39865112,60.53063965,7.901278973,FALSE,0.1,TRUE,3,31,,N,N
H7,SCr-513-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.75490952,35.65785599,0.314817369,29.40189552,31.67281532,6.489051819,FALSE,0.1,TRUE,3,32,,N,N
H8,SCr-513-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.91272354,35.65785599,0.314817369,26.6244297,31.67281532,6.489051819,FALSE,0.1,TRUE,3,32,,N,N
H9,SCr-513-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.30594254,35.65785599,0.314817369,38.99212646,31.67281532,6.489051819,FALSE,0.1,TRUE,3,32,,N,N
H10,SCr-538-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.43796921,33.82771301,0.355848819,126.2040787,100.4699783,23.13211632,FALSE,0.1,TRUE,3,30,,N,N
H11,SCr-538-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13529205,33.82771301,0.355848819,81.40518951,100.4699783,23.13211632,FALSE,0.1,TRUE,3,30,,N,N
H12,SCr-538-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90988159,33.82771301,0.355848819,93.80068207,100.4699783,23.13211632,FALSE,0.1,TRUE,3,30,,N,N
