INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
6.41	0.00	1180.78	
6.42	0.00	1184.41	
6.43	0.00	1188.05	
6.44	0.00	1191.68	
6.45	0.00	1195.32	
6.46	0.00	1198.96	
6.47	0.00	1202.60	
6.48	0.00	1206.24	
6.49	0.00	1209.89	
6.50	0.00	1213.54	
6.51	0.00	1217.18	
6.52	0.00	1220.84	
6.53	0.00	1224.49	
6.54	0.00	1228.15	
6.55	0.00	1231.80	
6.56	0.00	1235.46	
6.57	0.00	1239.12	
6.58	0.00	1242.79	
6.59	0.00	1246.45	
6.60	0.00	1250.12	
6.61	0.00	1253.79	
6.62	0.00	1257.46	
6.63	0.00	1261.14	
6.64	0.00	1264.81	
6.65	0.00	1268.49	
6.66	0.00	1272.17	
6.67	0.00	1275.85	
6.68	0.00	1279.54	
6.69	0.00	1283.22	
6.70	0.00	1286.91	
6.71	0.00	1290.60	
6.72	0.00	1294.29	
6.73	0.00	1297.99	
6.74	0.00	1301.68	
6.75	0.00	1305.38	
6.76	0.00	1309.08	
6.77	0.00	1312.78	
6.78	0.00	1316.49	
6.79	0.00	1320.19	
6.80	0.00	1323.90	
6.81	0.00	1327.61	
6.82	0.00	1331.32	
6.83	0.00	1335.04	
6.84	0.00	1338.75	
6.85	0.00	1342.47	
6.86	0.00	1346.19	
6.87	0.00	1349.91	
6.88	0.00	1353.63	
6.89	0.00	1357.36	
6.90	0.00	1361.09	
6.91	0.00	1364.81	
6.92	0.00	1368.55	
6.93	0.00	1372.28	
6.94	0.00	1376.01	
6.95	0.00	1379.75	
6.96	0.00	1383.49	
6.97	0.00	1387.23	
6.98	0.00	1390.97	
6.99	0.00	1394.72	
7.00	0.00	1398.46	
7.01	0.00	1402.21	
7.02	0.00	1405.96	
7.03	0.00	1409.71	
7.04	0.00	1413.47	
7.05	0.00	1417.22	
7.06	0.00	1420.98	
7.07	0.00	1424.74	
7.08	0.00	1428.50	
7.09	0.00	1432.27	
7.10	0.00	1436.03	
7.11	0.00	1439.80	
7.12	0.00	1443.57	
7.13	0.00	1447.34	
7.14	0.00	1451.11	
7.15	0.00	1454.89	
7.16	0.00	1458.66	
7.17	0.00	1462.44	
7.18	0.00	1466.22	
7.19	0.00	1470.00	
7.20	0.00	1473.79	
7.21	0.00	1477.57	
7.22	0.00	1481.36	
7.23	0.00	1485.15	
7.24	0.00	1488.94	
7.25	0.00	1492.73	
7.26	0.00	1496.53	
7.27	0.00	1500.32	
7.28	0.00	1504.12	
7.29	0.00	1507.92	
7.30	0.00	1511.72	
7.31	0.00	1515.53	
7.32	0.00	1519.33	
7.33	0.00	1523.14	
7.34	0.00	1526.95	
7.35	0.00	1530.76	
