Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-11-07 06:04:51 -08:00,311.25,2019-11-07 06:15:31 -08:00,311.26,2019-11-07 07:20:09 -08:00,311.31,1:04:38,2000,1275.1,724.9,deployed,SCr,412,SCr-412
bac wcr,2019-11-08 06:04:50 -08:00,312.25,2019-11-08 06:15:30 -08:00,312.26,2019-11-08 07:24:27 -08:00,312.31,1:08:56,2000,1300,700,deployed,SCr,413,SCr-413
bac wcr,2019-11-09 06:04:43 -08:00,313.25,2019-11-09 06:15:22 -08:00,313.26,2019-11-09 07:18:18 -08:00,313.3,1:02:56,2000,1275.1,724.9,deployed,SCr,414,SCr-414
bac wcr,2019-11-10 06:04:49 -08:00,314.25,2019-11-10 06:15:34 -08:00,314.26,2019-11-10 07:22:52 -08:00,314.31,1:07:18,2000,1300.1,699.9,deployed,SCr,415,SCr-415
bac wcr,2019-11-11 06:04:42 -08:00,315.25,2019-11-11 06:15:22 -08:00,315.26,2019-11-11 07:16:48 -08:00,315.3,1:01:25,2000,1250.1,749.9,deployed,SCr,416,SCr-416
bac wcr,2019-11-12 06:04:42 -08:00,316.25,2019-11-12 06:15:22 -08:00,316.26,2019-11-12 07:16:38 -08:00,316.3,1:01:15,2000,1275,725,deployed,SCr,417,SCr-417
bac wcr,2019-11-13 06:04:41 -08:00,317.25,2019-11-13 06:15:23 -08:00,317.26,2019-11-13 07:21:16 -08:00,317.31,1:05:52,2000,1125,875,deployed,SCr,418,SCr-418
bac wcr,2019-11-14 06:04:40 -08:00,318.25,2019-11-14 06:15:18 -08:00,318.26,2019-11-14 07:16:21 -08:00,318.3,1:01:02,2000,1175,825,deployed,SCr,419,SCr-419
bac wcr,2019-11-15 06:04:39 -08:00,319.25,2019-11-15 06:15:24 -08:00,319.26,2019-11-15 07:07:48 -08:00,319.3,0:52:24,2000,1075,925,deployed,SCr,420,SCr-420
bac wcr,2019-11-16 06:04:45 -08:00,320.25,2019-11-16 06:15:25 -08:00,320.26,2019-11-16 07:18:37 -08:00,320.3,1:03:11,2000,1324.4,675.6,deployed,SCr,421,SCr-421
bac wcr,2019-11-16 12:04:43 -08:00,320.5,2019-11-16 12:15:23 -08:00,320.51,2019-11-16 13:20:04 -08:00,320.56,1:04:41,2000,1375,625,deployed,SCr,422,SCr-422
bac wcr,2019-11-16 18:04:38 -08:00,320.75,2019-11-16 18:15:17 -08:00,320.76,2019-11-16 19:15:29 -08:00,320.8,1:00:11,2000,1350.1,649.9,deployed,SCr,423,SCr-423
bac wcr,2019-11-17 06:04:56 -08:00,321.25,2019-11-17 06:15:35 -08:00,321.26,2019-11-17 07:20:18 -08:00,321.31,1:04:42,2000,1374.9,625.1,deployed,SCr,424,SCr-424
bac wcr,2019-11-17 12:04:36 -08:00,321.5,2019-11-17 12:15:24 -08:00,321.51,2019-11-17 13:26:11 -08:00,321.56,1:10:46,2000,1450.1,549.9,deployed,SCr,425,SCr-425
bac wcr,2019-11-17 18:04:11 -08:00,321.75,2019-11-17 18:14:51 -08:00,321.76,2019-11-17 19:21:42 -08:00,321.81,1:06:51,2000,1450.1,549.9,deployed,SCr,426,SCr-426
bac wcr,2019-11-18 06:04:43 -08:00,322.25,2019-11-18 06:15:28 -08:00,322.26,2019-11-18 07:17:50 -08:00,322.3,1:02:21,2000,1325.1,674.9,deployed,SCr,427,SCr-427
bac wcr,2019-11-18 12:04:37 -08:00,322.5,2019-11-18 12:15:14 -08:00,322.51,2019-11-18 13:21:38 -08:00,322.56,1:06:23,2000,1400.1,599.9,deployed,SCr,428,SCr-428
bac wcr,2019-11-18 17:53:51 -08:00,322.75,2019-11-18 18:04:33 -08:00,322.75,2019-11-18 19:05:43 -08:00,322.8,1:01:09,2000,1425.1,574.9,deployed,SCr,429,SCr-429
bac wcr,2019-11-19 06:04:43 -08:00,323.25,2019-11-19 06:15:28 -08:00,323.26,2019-11-19 07:13:44 -08:00,323.3,0:58:16,2000,1400.1,599.9,deployed,SCr,430,SCr-430
bac wcr,2019-11-19 12:04:35 -08:00,323.5,2019-11-19 12:15:14 -08:00,323.51,2019-11-19 13:12:02 -08:00,323.55,0:56:47,2000,1350.1,649.9,deployed,SCr,431,SCr-431
