Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-12-23 18:04:22 -08:00,357.75,2019-12-23 18:15:01 -08:00,357.76,2019-12-23 18:32:21 -08:00,357.77,0:17:19,2000,273.7,1726.3,deployed,SCr,508,SCr-508
bac wcr,2019-12-24 06:04:26 -08:00,358.25,2019-12-24 06:15:07 -08:00,358.26,2019-12-24 08:01:49 -08:00,358.33,1:46:41,2000,300,1700,deployed,SCr,509,SCr-509
bac wcr,2019-12-24 18:04:27 -08:00,358.75,2019-12-24 18:15:16 -08:00,358.76,2019-12-24 18:34:48 -08:00,358.77,0:19:32,2000,299.2,1700.8,deployed,SCr,510,SCr-510
bac wcr,2019-12-25 06:04:21 -08:00,359.25,2019-12-25 06:15:02 -08:00,359.26,2019-12-25 06:32:24 -08:00,359.27,0:17:22,2000,300,1700,deployed,SCr,511,SCr-511
bac wcr,2019-12-25 18:04:23 -08:00,359.75,2019-12-25 18:15:04 -08:00,359.76,2019-12-25 18:33:18 -08:00,359.77,0:18:14,2000,292.3,1707.7,deployed,SCr,512,SCr-512
bac wcr,2019-12-26 06:04:26 -08:00,360.25,2019-12-26 06:15:10 -08:00,360.26,2019-12-26 06:32:07 -08:00,360.27,0:16:56,2000,219.8,1780.2,deployed,SCr,513,SCr-513
bac wcr,2019-12-26 18:04:22 -08:00,360.75,2019-12-26 18:15:04 -08:00,360.76,2019-12-26 18:29:00 -08:00,360.77,0:13:56,2000,217,1783,deployed,SCr,514,SCr-514
bac wcr,2019-12-27 06:04:23 -08:00,361.25,2019-12-27 06:15:13 -08:00,361.26,2019-12-27 06:33:58 -08:00,361.27,0:18:45,2000,210.9,1789.1,deployed,SCr,515,SCr-515
bac wcr,2019-12-27 18:04:20 -08:00,361.75,2019-12-27 18:15:02 -08:00,361.76,2019-12-27 18:32:31 -08:00,361.77,0:17:28,2000,239.8,1760.2,deployed,SCr,516,SCr-516
bac wcr,2019-12-28 06:04:24 -08:00,362.25,2019-12-28 06:15:06 -08:00,362.26,2019-12-28 06:27:10 -08:00,362.27,0:12:03,2000,225,1775,deployed,SCr,517,SCr-517
bac wcr,2019-12-28 18:04:26 -08:00,362.75,2019-12-28 18:15:11 -08:00,362.76,2019-12-28 18:32:22 -08:00,362.77,0:17:11,2000,250,1750,deployed,SCr,518,SCr-518
bac wcr,2019-12-29 06:04:23 -08:00,363.25,2019-12-29 06:15:09 -08:00,363.26,2019-12-29 06:38:09 -08:00,363.28,0:22:59,2000,275,1725,deployed,SCr,519,SCr-519
bac wcr,2019-12-29 18:04:24 -08:00,363.75,2019-12-29 18:15:07 -08:00,363.76,2019-12-29 18:33:38 -08:00,363.77,0:18:31,2000,297.8,1702.2,deployed,SCr,520,SCr-520
bac wcr,2019-12-30 06:04:22 -08:00,364.25,2019-12-30 06:15:19 -08:00,364.26,2019-12-30 06:31:43 -08:00,364.27,0:16:23,2000,249.7,1750.3,deployed,SCr,521,SCr-521
