Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201015_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-15 11:28:16 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,OUTLIERRG,EXPFAIL
G11,SCr-212,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.99098396,30.15555,0.215036526,641.7200317,582.0466309,76.03188324,FALSE,0.1,TRUE,3,28,,N,N,N
G12,SCr-212,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.39885902,30.15555,0.215036526,496.4411316,582.0466309,76.03188324,FALSE,0.1,TRUE,3,28,,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,24,,N,N,N
H4,SCr-208,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.42178535,30.53269196,0.242056474,489.329834,459.7802734,66.90878296,FALSE,0.1,TRUE,3,28,,N,N,N
H5,SCr-208,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.81032944,30.53269196,0.242056474,383.1839294,459.7802734,66.90878296,FALSE,0.1,TRUE,3,28,,N,N,N
H6,SCr-208,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.36595917,30.53269196,0.242056474,506.8269958,459.7802734,66.90878296,FALSE,0.1,TRUE,3,27,,N,N,N
H7,SCr-208-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.92288589,31.60461426,0.275883675,190.2525177,234.7079315,38.54674911,FALSE,0.1,TRUE,3,28,,N,N,N
H8,SCr-208-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.43368149,31.60461426,0.275883675,258.8431396,234.7079315,38.54674911,FALSE,0.1,TRUE,3,28,,N,N,N
H9,SCr-208-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.45727539,31.60461426,0.275883675,255.0281525,234.7079315,38.54674911,FALSE,0.1,TRUE,3,28,,N,N,N
H10,SCr-212-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51686859,31.55309105,0.041076083,245.6407928,240.1581879,6.184007645,FALSE,0.1,TRUE,3,28,,N,N,N
H11,SCr-212-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.54467964,31.55309105,0.041076083,241.3789215,240.1581879,6.184007645,FALSE,0.1,TRUE,3,29,,N,N,N
H12,SCr-212-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.59771919,31.55309105,0.041076083,233.4548492,240.1581879,6.184007645,FALSE,0.1,TRUE,3,28,,N,N,N
