Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
G12,SCr-367,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.74631882,31.58106995,0.175827846,177.2713928,199.2583618,23.96581078,FALSE,0.1,TRUE,3,27,,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H4,SCr-363,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.89844704,32.19492722,0.311415792,159.8821869,132.6774139,27.49472809,FALSE,0.1,TRUE,3,28,,N,N,N
H5,SCr-363,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.51939011,32.19492722,0.311415792,104.9016266,132.6774139,27.49472809,FALSE,0.1,TRUE,3,29,,N,N,N
H6,SCr-363,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.16694641,32.19492722,0.311415792,133.2484283,132.6774139,27.49472809,FALSE,0.1,TRUE,3,29,,N,N,N
H7,SCr-363-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.12300873,34.03749466,0.162306696,35.32878876,37.59453964,4.262369633,FALSE,0.1,TRUE,3,30,,N,N,N
H8,SCr-363-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13916397,34.03749466,0.162306696,34.94355774,37.59453964,4.262369633,FALSE,0.1,TRUE,3,31,,N,N,N
H9,SCr-363-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.85031128,34.03749466,0.162306696,42.51127243,37.59453964,4.262369633,FALSE,0.1,TRUE,3,30,,N,N,N
H10,SCr-367-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.91963959,33.47946548,0.505500853,79.94879913,56.93690872,20.4085083,FALSE,0.1,TRUE,3,29,,Y,N,N
H11,SCr-367-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.61626816,33.47946548,0.505500853,49.82948303,56.93690872,20.4085083,FALSE,0.1,TRUE,3,29,,Y,N,N
H12,SCr-367-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90248108,33.47946548,0.505500853,41.03245163,56.93690872,20.4085083,FALSE,0.1,TRUE,3,30,,Y,N,N
